datetime	content	title	channels
2020-05-17 17:34:36	  【股票私募仓位创年内新高】来自第三方机构的最新私募仓位监测数据显示，截至最新一期净值披露日（5月8日），国内所有规模股票私募仓位和百亿级股票私募仓位分别报74.06%和85.13%，双双刷新年内新高。		市场
2020-05-17 17:31:40	  沙特TASI指数涨幅扩大至1.5%。		市场
2020-05-17 17:31:33	  御家汇回复深交所关注函：网红直播是当下美妆品牌宣传推广的手段之一，但并不代表公司是网红经济概念的代表性公司。		公司
2020-05-17 17:29:14	  北京市科委主任许强介绍，目前北京有3种新冠检测试剂通过审批，5种新冠治疗药品通过审批。目前，5条技术路线8个团队在进行疫苗研发，其中有3个团队进入二期临床，数据都很好。（新京报）		疫情
2020-05-17 17:27:38	【全聚德总经理周延龙：没看到报复性消费，五一后“一天比一天好”】 周延龙透露，从二季度来看，4月份以来特别是从五一开始，包括刚刚过去的5月10日母亲节，经营状况正在比较快的恢复当中。“实话说，从五一过后可以说是一比一天好，明显看到了一个上升的态势。整体上来看，外阜的恢复速度要好于北京。从北京来说，中小型门店要好于三家主力门店（注：前门、和平门、王府井）的恢复速度。” “如果报复性消费是指阶段性超出预期的消费数据，现在从市场看是没有体现出来的，没有出现集中的报复式的这种消费，是在缓慢的回升过程中，比如说今天恢复10%，明年可能是10.5%，就这样一个速度在恢复当中。” 周延龙表示。（界面）		公司
2020-05-17 17:26:02	  【以岭药业：连花清咳片获得药品注册批件】以岭药业公告，公司收到国家药品监督管理局核准签发的《药品注册批件》，药品名称为连花清咳片。作为连花清瘟胶囊/颗粒的“姊妹药”，连花清咳片在该类咳嗽领域预计会有较好的发展前景，有助于提升公司产品在感冒呼吸疾病领域的市场竞争力，未来有望成为公司新的业务增长点。		公司
2020-05-17 17:25:41	  埃斯顿：与颐中烟草（集团）有限公司签署战略合作协议，双方在新型烟草装备研发、自动化立库、物流自动化、专利与标准、联合开发团队等方面开展合作。颐中集团承诺在集团各需求模块优先使用埃斯顿的自有产品，三年使用埃斯顿机器人不低于500台，使用埃斯顿运动控制及伺服系统不低于5000根轴。		公司
2020-05-17 17:17:48	  超频三：实控人、持股5%以上股东拟向益阳高新产投公司转让9.53%公司股份，转让价格8.1225元/股，转让不会导致公司控股股东及实际控制人发生变化。		公司
2020-05-17 17:17:06	  【投资机构：百度一季度业绩表现或超预期】国际投资研究机构扎克斯权威投资研究公司最新发布的预测指出，百度一季度业绩表现或超预期，给投资人带来惊喜。扎克斯分析称，看好百度业绩超预期，原因在于在财报即将发布前夕，华尔街分析师上调了对百度的营收预期，将其营收预期上调了4.45%。从公司业务层面看，百度2020年核心业务稳健增长。用户数据快速攀升的同时，百度移动生态的创作者群体也在这一年激增。（中证网）		公司
2020-05-17 17:15:54	  【金发科技：子公司签订9.75亿美元重大口罩出口合同】金发科技(600143)5月17日晚间公告，公司子公司广东金发科技有限公司（简称“卖方”）与美国某公司（简称“买方”）签订《货物买卖合同》。在货物买卖合同期限内，卖方根据货物买卖合同及买方的具体采购订单，向买方出售KN95口罩。5月16日（北京时间），卖方收到买方的采购订单，订购金额97500万美元。货物买卖合同的顺利履行预计产生的净利润总额占公司2019年净利润的50%以上。		公司
2020-05-17 17:15:19	  凯撒旅业：以每股2.7804元向陕西正天转让长安银行0.3%股份，交易金额4608万元。		公司
2020-05-17 17:14:00	  北京市卫健委：北京核酸检测机构增至70家，日检验检测能力最高达51000份。		疫情
2020-05-17 17:13:50	  襄阳轴承：持股2.18%股东上银基金拟清仓减持。		公司
2020-05-17 17:12:05	  金发科技：子公司建设120万吨/年聚丙烯热塑性弹性体（PTPE）及改性新材料一体化项目（一阶段），总投资约为62亿元。		公司
2020-05-17 17:11:47	中信国安：因涉嫌信息披露违法违规，证监会决定对公司进行立案调查。		公司
2020-05-17 17:11:02	  双汇发展：非公开发行募资不超过70亿元，用于肉鸡产业化产能建设项目、生猪养殖产能建设项目、生猪屠宰及调理制品技术改造项目等。		公司
2020-05-17 17:03:37	  据香港“东网”报道，香港17日新增3例新冠肺炎确诊病例，均为输入病例，患者由巴基斯坦回港。（海外网）		疫情
2020-05-17 17:03:29	  比利时报告新增291例新冠肺炎确诊病例，总计55280例；新增4700例死亡病例，总计9052例。		国际 疫情
2020-05-17 17:03:20	  西班牙在过去24小时内报告87例新冠肺炎死亡病例，升至27650例，此前为27563例。		国际 疫情
2020-05-17 17:03:13	  西班牙新冠肺炎确诊病例上升至231350例，此前为230698例。		国际 疫情
2020-05-17 17:00:25	  【民进中央建议进一步降准降息】民进中央在《关于助力民营企业克服困难健康发展的提案》中建议，鼓励但不强制商业银行对主要疫情较重地区下调贷款利率，尤其是对受疫情冲击较大的行业给予支持，给予特殊时期还本付息延期政策支持。建议在二季度疫情缓和后开始进一步降准降息，保持流动性合理充裕，为实体经济提供良好的货币金融环境，探索对疫区重点金融机构定向降准等措施。（中证报）		其他
2020-05-17 16:54:02	  【中国疾控中心：目的地是高风险地区建议暂缓出差】今天下午，国务院联防联控机制召开新闻发布会，中国疾控中心研究员冯录召表示，出差、出行人员应该提前做好个人防护。在出差前要做好准备，要看一看目的地近期是否有病例或者疫情发生，如果是高风险地区，建议暂缓出差。		疫情
2020-05-17 16:53:48	【民进中央建议：发挥我国产业结构完整优势 加快制造业优化升级】民进中央在《关于以产业结构稳步升级促进经济高质量发展的提案》中建议，发挥我国产业结构完整的优势，加快制造业优化升级；建立良好创新生态系统，提升制造业技术创新能力；提升服务业劳动生产率。（中证报）		其他
2020-05-17 16:52:45	 【中通国脉：终止对瑞保生物增资】中通国脉公告，公司原拟以5000万元对关联方优迈生物设立的全资子公司瑞保生物进行增资。但交易各方未能就瑞保生物的发展战略、经营理念、企业文化建设等方面达成一致。经交易各方友好协商一致，决定终止本次对外投资暨关联交易。		公司
