id,name,money
sh601878,浙商证券,562.7067308298
sh601881,中国银河,950.0436990897111
sh601888,中国中免,3829.7807795560007
sh601898,中煤能源,456.08258552622004
sh601899,紫金矿业,1837.6859442630002
sh601901,方正证券,730.1873937365
sh601916,浙商银行,825.8177869912001
sh601919,中远海控,857.298863817
sh601933,永辉超市,766.0609914440001
sh601939,建设银行,13235.844584659653
sh601985,中国核电,719.1243863034
sh601988,中国银行,8786.341242881868
sh601989,中国重工,969.08650127
sh601992,金隅集团,288.6059828672686
sh601997,贵阳银行,251.971644078
sh601998,中信银行,2174.8536474986063
sh603019,中科曙光,523.1328680244001
sh603156,养元饮品,332.31861936000007
sh603160,汇顶科技,819.3608881527001
sh603259,药明康德,2843.946809423079
sh603260,合盛硅业,382.704
sh603288,海天味业,5326.3165009896
sh603369,今世缘,711.3015
sh603501,韦尔股份,1763.1643401366
sh603658,安图生物,660.975449965
sh603799,华友钴业,527.262825012
sh603833,欧派家居,787.2528730112999
sh603899,晨光文具,786.36586204
sh603986,兆易创新,959.1750295740001
sh603993,洛阳钼业,853.6865843749199
