ts_code	trade_date	close	turnover_rate	turnover_rate_f	volume_ratio	pe	pe_ttm	pb	ps	ps_ttm	dv_ratio	dv_ttm	total_share	float_share	free_share	total_mv	circ_mv
300595.SZ	20200701	65.8	2.0521	10.9026	1.52	130.1376	135.6776	29.8444	61.7369	63.4111	0.0787	0.1013	60695.802	43179.8481	8127.3629	3993783.7716	2841234.005
300595.SZ	20200630	69.34	1.255	6.6676	0.88	137.1389	142.9769	31.45	65.0583	66.8226	0.0746	0.0961	60695.802	43179.8481	8127.3629	4208646.9107	2994090.6673
300595.SZ	20200629	67.5	1.3981	7.4281	0.96	133.4998	139.1829	30.6155	63.3319	65.0494	0.0767	0.0988	60695.802	43179.8481	8127.3629	4096966.635	2914639.7468
300595.SZ	20200624	66.5	1.5951	8.4745	0.98	131.5221	137.1209	30.1619	62.3937	64.0857	0.0778	0.1003	60695.802	43179.8481	8127.3629	4036270.833	2871459.8987
300595.SZ	20200623	66.28	1.3312	7.0725	0.78	131.087	136.6673	30.0621	62.1873	63.8737	0.0781	0.1006	60695.802	43179.8481	8127.3629	4022917.7566	2861960.3321
300595.SZ	20200622	63.41	1.1885	6.3145	0.65	125.4107	130.7494	28.7604	59.4945	61.1079	0.0816	0.1051	60695.802	43179.8481	8127.3629	3848720.8048	2738034.168
300595.SZ	20200619	63.16	1.6092	8.5497	0.86	124.9163	130.234	28.647	59.2599	60.867	0.0819	0.1056	60695.802	43179.8481	8127.3629	3833546.8543	2727239.206
300595.SZ	20200618	60.2	1.5209	8.0802	0.77	119.0621	124.1305	27.3045	56.4827	58.0144	0.086	0.1107	60695.802	43179.8481	8127.3629	3653887.2804	2599426.8556
300595.SZ	20200617	62.14	2.4582	13.0601	1.4	122.899	128.1307	28.1844	58.3029	59.884	0.0833	0.1073	60695.802	43179.8481	8127.3629	3771637.1363	2683195.7609
300595.SZ	20200616	60.38	1.8008	9.5673	1.03	119.4181	124.5017	27.3861	56.6516	58.1879	0.0857	0.1104	60695.802	43179.8481	8127.3629	3664812.5248	2607199.2283
300595.SZ	20200615	58.88	1.6937	8.9983	0.87	116.4514	121.4087	26.7058	55.2442	56.7423	0.0879	0.1132	60695.802	43179.8481	8127.3629	3573768.8218	2542429.4561
300595.SZ	20200612	59.9	1.9208	10.2049	1.02	118.4687	123.5119	27.1684	56.2012	57.7253	0.0864	0.1113	60695.802	43179.8481	8127.3629	3635678.5398	2586472.9012
300595.SZ	20200611	60.57	2.0329	10.8006	1.06	119.7939	124.8935	27.4723	56.8299	58.371	0.0854	0.1101	60695.802	43179.8481	8127.3629	3676344.7271	2615403.3994
300595.SZ	20200610	59.56	1.356	7.2044	0.72	117.7963	122.8109	27.0142	55.8822	57.3977	0.0869	0.1119	60695.802	43179.8481	8127.3629	3615041.9671	2571791.7528
300595.SZ	20200609	58.35	1.7211	9.1438	0.95	115.4032	120.3159	26.4654	54.7469	56.2316	0.0887	0.1143	60695.802	43179.8481	8127.3629	3541600.0467	2519544.1366
300595.SZ	20200608	58.59	2.7512	14.6168	1.73	115.8779	120.8108	26.5742	54.9721	56.4629	0.0883	0.1138	60695.802	43179.8481	8127.3629	3556167.0392	2529907.3002
300595.SZ	20200605	62.49	1.5846	8.4188	0.93	123.5912	128.8524	28.3431	58.6313	60.2213	0.0828	0.1067	60695.802	43179.8481	8127.3629	3792880.667	2698308.7078
300595.SZ	20200604	60.56	2.1765	11.5637	1.43	119.7741	124.8728	27.4678	56.8205	58.3614	0.0855	0.1101	60695.802	43179.8481	8127.3629	3675737.7691	2614971.6009
300595.SZ	20200603	55.05	1.2127	6.443	0.81	108.8765	113.5114	24.9686	51.6507	53.0514	0.094	0.1211	60695.802	43179.8481	8127.3629	3341303.9001	2377050.6379
300595.SZ	20200602	54.38	1.3476	7.1594	0.87	107.5514	112.1299	24.6647	51.0221	52.4057	0.0952	0.1226	60695.802	43179.8481	8127.3629	3300637.7128	2348120.1397
300595.SZ	20200601	55.68	1.6465	8.7477	1.16	110.1225	114.8104	25.2544	52.2418	53.6585	0.0929	0.1197	60695.802	43179.8481	8127.3629	3379542.2554	2404253.9422
300595.SZ	20200529	54.5	2.1767	11.5648	1.75	107.7888	112.3773	24.7192	51.1347	52.5214	0.095	0.1223	60695.802	43179.8481	8127.3629	3307921.209	2353301.7215
300595.SZ	20200528	50.21	1.2161	6.4609	1.0	99.3041	103.5315	22.7734	47.1096	48.3871	0.1031	0.1328	60695.802	43179.8481	8127.3629	3047536.2184	2168060.1731
300595.SZ	20200527	51.05	1.1221	5.9615	0.79	100.9654	105.2635	23.1544	47.8977	49.1966	0.1014	0.1306	60695.802	43179.8481	8127.3629	3098520.6921	2204331.2455
300595.SZ	20200526	51.43	1.5813	8.4012	1.24	101.717	106.0471	23.3267	48.2542	49.5628	0.1006	0.1296	60695.802	43179.8481	8127.3629	3121585.0969	2220739.5878
